,TLD,Alexa #,Domain #,Start Date,ASCII,Whois Server,Registry
123,marketing,16,15292,1/9/14,marketing,whois.donuts.co,registry
124,hosting,7,15194,8/15/14,hosting,whois.uniregistry.net,registry
125,video,44,15166,12/17/14,video,whois.rightside.co,registry
126,christmas,1,15150,2/13/14,christmas,whois.uniregistry.net,registry
127,wien,4,14974,12/19/13,wien,whois.nic.wien,registry
128,network,32,14719,8/18/14,network,whois.donuts.co,registry
129,miami,1,14716,2/28/14,miami,whois-dub.mm-registry.com,registry
130,house,11,14645,12/19/13,house,whois.donuts.co,registry
131,digital,40,14570,4/17/14,digital,whois.donuts.co,registry
132,swiss,1,14367,4/16/15,swiss,whois.nic.swiss,registry
133,bio,10,14145,5/15/14,bio,whois.ksregistry.net,registry
134,men,2,14109,5/8/15,men,whois.nic.men,registry
135,porn,39,13769,11/26/14,porn,whois.afilias-srs.net,registry
136,church,7,13760,5/8/14,church,whois.donuts.co,registry
137,land,20,13666,11/8/13,land,whois.donuts.co,registry
138,frl,1,13618,8/22/14,frl,whois.nic.frl,registry
139,vegas,2,13580,3/20/14,vegas,whois.afilias-srs.net,registry
140,bike,22,13548,11/8/13,bike,whois.donuts.co,registry
141,lawyer,1,13269,5/22/14,lawyer,whois.rightside.co,registry
142,ruhr,1,13140,11/25/13,ruhr,whois.nic.ruhr,registry
143,�����_,NA,13101,2/27/14,xn--czru2d,whois.gtld.knet.cn,registry
144,clothing,5,13061,10/31/13,clothing,whois.donuts.co,registry
145,guide,21,12875,5/8/14,guide,whois.donuts.co,registry
146,cool,16,12395,1/16/14,cool,whois.donuts.co,registry
147,host,34,12151,5/22/14,host,whois.nic.host,registry
148,beer,3,12112,3/13/14,beer,whois-dub.mm-registry.com,registry
149,blackfriday,1,12102,4/17/14,blackfriday,whois.uniregistry.net,registry
150,care,5,11911,4/17/14,care,whois.donuts.co,registry
151,wales,5,11650,7/31/14,wales,whois.nic.wales,registry
152,sex,13,11492,4/9/15,sex,whois.afilias-srs.net,registry
153,rentals,3,11262,1/30/14,rentals,whois.donuts.co,registry
154,scot,14,11121,6/5/14,scot,whois.scot.coreregistry.net,registry
155,immo,2,10946,8/22/14,immo,whois.donuts.co,registry
156,coffee,9,10922,12/19/13,coffee,whois.donuts.co,registry
157,properties,1,10902,1/30/14,properties,whois.donuts.co,registry
158,business,6,10753,8/18/14,business,whois.donuts.co,registry
159,sale,3,10570,12/17/14,sale,whois.rightside.co,registry
160,kiwi,3,10368,11/25/13,kiwi,whois.nic.kiwi,registry
161,market,13,10204,5/22/14,market,whois.rightside.co,registry
162,studio,6,10076,6/25/15,studio,whois.rightside.co,registry
163,adult,5,9956,11/26/14,adult,whois.afilias-srs.net,registry
164,fashion,4,9928,10/23/14,fashion,whois-dub.mm-registry.com,registry
165,works,21,9840,1/16/14,works,whois.donuts.co,registry
166,wine,1,9755,7/23/15,wine,whois.donuts.co,registry
167,nrw,5,9734,5/29/14,nrw,whois.nic.nrw,registry
168,software,13,9703,5/22/14,software,whois.rightside.co,registry
169,management,2,9663,12/12/13,management,whois.donuts.co,registry
170,community,21,9545,1/23/14,community,whois.donuts.co,registry
171,estate,2,9496,11/8/13,estate,whois.donuts.co,registry
172,kaufen,1,9265,12/19/13,kaufen,whois.unitedtld.com,registry
173,buzz,19,9209,12/12/13,buzz,whois.nic.buzz,registry
174,gold,2,9112,3/12/15,gold,whois.donuts.co,registry
175,farm,10,8844,12/19/13,farm,whois.donuts.co,registry
176,quebec,2,8761,3/13/14,quebec,whois.nic.quebec,registry
177,melbourne,2,8570,7/3/14,melbourne,whois.aridnrs.net.au,registry
178,fit,6,8549,12/18/14,fit,whois-dub.mm-registry.com,registry
179,chat,13,8504,1/29/15,chat,whois.donuts.co,registry
180,direct,10,8472,5/22/14,direct,whois.donuts.co,registry
181,band,1,8399,10/1/14,band,whois.rightside.co,registry
182,attorney,1,8236,5/22/14,attorney,whois.rightside.co,registry
183,sydney,3,8061,10/30/14,sydney,whois.nic.sydney,registry
184,boutique,3,8020,1/16/14,boutique,whois.donuts.co,registry
185,immobilien,1,7867,12/19/13,immobilien,whois.unitedtld.com,registry
186,institute,4,7865,12/19/13,institute,whois.donuts.co,registry
187,legal,2,7839,11/20/14,legal,whois.donuts.co,registry
188,coop,124,7792,12/15/01,coop,whois.nic.coop,registry
189,ski,2,7792,5/14/15,ski,whois.ksregistry.net,registry
190,wedding,1,7757,7/10/14,wedding,whois-dub.mm-registry.com,registry
191,deals,15,7694,7/3/14,deals,whois.donuts.co,registry
192,fitness,5,7589,4/11/14,fitness,whois.donuts.co,registry
193,family,1,7554,8/6/15,family,whois.rightside.co,registry
194,graphics,4,7479,11/8/13,graphics,whois.donuts.co,registry
195,wtf,12,7455,4/17/14,wtf,whois.donuts.co,registry
196,tattoo,2,7450,11/8/13,tattoo,whois.uniregistry.net,registry
197,sucks,NA,7425,2/19/15,sucks,whois.nic.sucks,registry
198,pet,1,7365,7/16/15,pet,whois.afilias.net,registry
199,school,10,7359,2/13/15,school,whois.donuts.co,registry
200,hiphop,1,7293,5/8/14,hiphop,whois.uniregistry.net,registry
201,tools,28,7182,1/16/14,tools,whois.donuts.co,registry
202,ventures,8,7168,10/31/13,ventures,whois.donuts.co,registry
203,yoga,2,7166,8/15/14,yoga,whois-dub.mm-registry.com,registry
204,team,14,7000,4/9/15,team,whois.donuts.co,registry
205,cafe,6,6982,3/12/15,cafe,whois.donuts.co,registry
206,domains,12,6903,12/12/13,domains,whois.donuts.co,registry
207,foundation,2,6888,2/6/14,foundation,whois.donuts.co,registry
208,careers,12,6833,12/12/13,careers,whois.donuts.co,registry
209,healthcare,2,6792,7/24/14,healthcare,whois.donuts.co,registry
210,pictures,5,6787,4/3/14,pictures,whois.donuts.co,registry
211,fund,10,6643,4/17/14,fund,whois.donuts.co,registry
212,solar,1,6600,12/19/13,solar,whois.donuts.co,registry
213,repair,2,6505,12/19/13,repair,whois.donuts.co,registry
214,coach,5,6497,11/20/14,coach,whois.donuts.co,registry
215,equipment,1,6495,10/31/13,equipment,whois.donuts.co,registry
216,forsale,2,6478,9/24/14,forsale,whois.unitedtld.com,registry
217,rent,4,6361,4/2/15,rent,whois.nic.rent,registry
218,construction,1,6274,11/8/13,construction,whois.donuts.co,registry
219,menu,9,6258,11/13/13,menu,whois.nic.menu,registry
220,dental,NA,6156,4/17/14,dental,whois.donuts.co,registry
221,fyi,3,6139,5/14/15,fyi,whois.donuts.co,registry
222,dog,4,6034,4/16/15,dog,whois.donuts.co,registry
223,brussels,7,6004,6/5/14,brussels,whois.nic.brussels,registry
224,camp,5,5937,12/12/13,camp,whois.donuts.co,registry
225,kitchen,4,5846,11/13/13,kitchen,whois.donuts.co,registry
226,lighting,2,5795,10/31/13,lighting,whois.donuts.co,registry
227,cymru,4,5728,7/31/14,cymru,whois.nic.cymru,registry
228,vlaanderen,1,5720,6/5/14,vlaanderen,whois.nic.vlaanderen,registry
229,bzh,10,5700,5/29/14,bzh,whois-bzh.nic.fr,registry
230,vin,1,5669,7/23/15,vin,whois.donuts.co,registry
231,money,8,5659,11/20/14,money,whois.donuts.co,registry
232,������,NA,5648,5/8/14,xn--czr694b,,registry
233,jetzt,1,5617,3/6/14,jetzt,whois.nic.jetzt,registry
234,restaurant,1,5614,7/31/14,restaurant,whois.donuts.co,registry
235,shoes,4,5606,12/12/13,shoes,whois.donuts.co,registry
236,law,1,5423,6/18/15,law,whois-dub.mm-registry.com,registry
237,cash,13,5403,4/17/14,cash,whois.donuts.co,registry
238,golf,NA,5400,3/12/15,golf,whois.donuts.co,registry
239,cards,8,5379,2/6/14,cards,whois.donuts.co,registry
240,watch,13,5375,1/16/14,watch,whois.donuts.co,registry
241,holiday,2,5338,12/19/13,holiday,whois.donuts.co,registry
242,eus,47,5328,3/6/14,eus,whois.eus.coreregistry.net,registry
243,clinic,3,5311,4/11/14,clinic,whois.donuts.co,registry
244,cologne,NA,5263,3/13/14,cologne,whois-fe1.pdt.cologne.tango.knipp.de,registry
245,vet,1,5260,5/22/14,vet,whois.rightside.co,registry
246,moe,58,5208,3/13/14,moe,whois.nic.moe,registry
247,plus,20,5132,3/12/15,plus,whois.donuts.co,registry
248,college,1,5085,3/13/14,college,whois.nic.college,registry
249,enterprises,1,5027,11/13/13,enterprises,whois.donuts.co,registry
250,dance,3,4993,1/9/14,dance,whois.unitedtld.com,registry
251,holdings,1,4988,10/31/13,holdings,whois.donuts.co,registry
252,capital,2,4930,4/3/14,capital,whois.donuts.co,registry
253,camera,8,4923,10/31/13,camera,whois.donuts.co,registry
254,parts,4,4920,2/6/14,parts,whois.donuts.co,registry
255,reisen,1,4863,4/3/14,reisen,whois.donuts.co,registry
256,codes,14,4822,12/19/13,codes,whois.donuts.co,registry
257,computer,3,4813,12/12/13,computer,whois.donuts.co,registry
258,productions,2,4803,2/6/14,productions,whois.donuts.co,registry
259,taxi,1,4801,4/30/15,taxi,whois.donuts.co,registry
260,report,29,4787,1/30/14,report,whois.donuts.co,registry
261,style,6,4785,1/29/15,style,whois.donuts.co,registry
262,barcelona,4,4765,6/4/15,barcelona,whois.nic.barcelona,registry
263,bar,4,4707,2/13/14,bar,whois.nic.bar,registry
264,university,3,4694,4/3/14,university,whois.donuts.co,registry
265,exchange,11,4664,4/17/14,exchange,whois.donuts.co,registry
266,partners,4,4661,1/30/14,partners,whois.donuts.co,registry
267,tours,1,4614,3/12/15,tours,whois.donuts.co,registry
268,singles,4,4610,10/31/13,singles,whois.donuts.co,registry
269,football,1,4600,2/13/15,football,whois.donuts.co,registry
270,tax,1,4566,4/17/14,tax,whois.donuts.co,registry
271,vision,2,4566,2/6/14,vision,whois.donuts.co,registry
272,tirol,2,4541,5/29/14,tirol,whois.nic.tirol,registry
273,discount,2,4535,4/17/14,discount,whois.donuts.co,registry
274,finance,3,4513,4/24/14,finance,whois.donuts.co,registry
275,vacations,3,4445,2/13/14,vacations,whois.donuts.co,registry
276,onl,9,4373,12/12/13,onl,whois.afilias-srs.net,registry
277,capetown,1,4315,6/5/14,capetown,capetown-whois.registry.net.za,registry
278,builders,4,4308,12/19/13,builders,whois.donuts.co,registry
279,contractors,1,4303,11/8/13,contractors,whois.donuts.co,registry
280,limited,2,4254,4/17/14,limited,whois.donuts.co,registry
281,energy,6,4220,10/16/14,energy,whois.donuts.co,registry
282,horse,3,4150,2/28/14,horse,whois-dub.mm-registry.com,registry
283,build,3,4121,1/9/14,build,whois.nic.build,registry
284,nagoya,5,4093,1/16/14,nagoya,whois.nic.nagoya,registry
285,haus,1,4031,3/26/14,haus,whois.unitedtld.com,registry
286,toys,2,3988,4/3/14,toys,whois.donuts.co,registry
287,show,3,3939,4/9/15,show,whois.donuts.co,registry
288,cab,5,3934,12/12/13,cab,whois.donuts.co,registry
289,pizza,3,3801,8/22/14,pizza,whois.donuts.co,registry
290,gratis,20,3783,4/17/14,gratis,whois.donuts.co,registry
291,poker,2,3734,9/4/14,poker,whois.afilias.net,registry
292,plumbing,1,3730,11/8/13,plumbing,whois.donuts.co,registry
293,��Ȍ_�,1,3705,1/23/14,xn--6frz82g,whois.afilias.net,registry
294,�_Ԍ��,NA,3702,11/20/14,xn--hxt814e,whois.nic.xn--hxt814e,registry
295,surf,2,3686,3/13/14,surf,whois-dub.mm-registry.com,registry
296,archi,2,3684,3/20/14,archi,whois.ksregistry.net,registry
297,casino,8,3657,2/13/15,casino,whois.donuts.co,registry
298,engineering,1,3638,4/3/14,engineering,whois.donuts.co,registry
299,kred,3,3635,2/20/14,kred,whois.nic.kred,registry
300,glass,4,3625,12/19/13,glass,whois.donuts.co,registry
301,supply,1,3621,2/13/14,supply,whois.donuts.co,registry
302,cheap,1,3575,1/9/14,cheap,whois.donuts.co,registry
303,fish,1,3501,2/13/14,fish,whois.donuts.co,registry
304,saarland,1,3479,3/20/14,saarland,whois.ksregistry.net,registry
305,place,8,3460,6/5/14,place,whois.donuts.co,registry
306,earth,3,3456,4/16/15,earth,whois.nic.earth,registry
307,express,4,3452,3/12/15,express,whois.donuts.co,registry
308,insure,2,3408,4/24/14,insure,whois.donuts.co,registry
309,futbol,6,3348,2/6/14,futbol,whois.unitedtld.com,registry
310,joburg,1,3344,6/5/14,joburg,joburg-whois.registry.net.za,registry
311,recipes,2,3304,12/12/13,recipes,whois.donuts.co,registry
312,gifts,2,3277,7/31/14,gifts,whois.donuts.co,registry
313,catering,1,3236,1/30/14,catering,whois.donuts.co,registry
314,gent,3,3176,7/3/14,gent,whois.nic.gent,registry
315,vodka,2,3172,2/28/14,vodka,whois-dub.mm-registry.com,registry
316,bank,13,3170,11/26/14,bank,whois.nic.bank,registry
317,yokohama,5,3167,3/27/14,yokohama,whois.nic.yokohama,registry
318,supplies,NA,3160,2/13/14,supplies,whois.donuts.co,registry
319,apartments,1,3131,2/5/15,apartments,whois.donuts.co,registry
320,cooking,2,3115,2/28/14,cooking,whois-dub.mm-registry.com,registry
321,financial,1,3088,4/17/14,financial,whois.donuts.co,registry
322,ngo,7,3047,7/10/14,ngo,whois.publicinterestregistry.net,registry
323,ong,1,3047,7/10/14,ong,whois.publicinterestregistry.net,registry
324,dating,9,3034,1/23/14,dating,whois.donuts.co,registry
325,rip,4,3017,10/9/14,rip,whois.rightside.co,registry
326,garden,1,2989,10/23/14,garden,whois-dub.mm-registry.com,registry
327,gal,24,2978,3/13/14,gal,whois.gal.coreregistry.net,registry
328,florist,1,2943,12/19/13,florist,whois.donuts.co,registry
329,diamonds,1,2922,11/13/13,diamonds,whois.donuts.co,registry
330,ceo,1,2911,12/19/13,ceo,whois.nic.ceo,registry
331,industries,NA,2905,2/13/14,industries,whois.donuts.co,registry
332,best,10,2846,2/20/14,best,whois.nic.best,registry
333,auction,2,2828,4/24/14,auction,whois.unitedtld.com,registry
334,exposed,1,2803,1/30/14,exposed,whois.donuts.co,registry
335,dentist,NA,2792,5/22/14,dentist,whois.rightside.co,registry
336,limo,1,2756,12/12/13,limo,whois.donuts.co,registry
337,loans,NA,2727,5/8/14,loans,whois.donuts.co,registry
338,fishing,1,2686,2/28/14,fishing,whois-dub.mm-registry.com,registry
339,fail,1,2681,4/17/14,fail,whois.donuts.co,registry
340,taipei,19,2665,9/25/14,taipei,whois.nic.taipei,registry
341,versicherung,NA,2654,5/15/14,versicherung,whois.nic.versicherung,registry
342,voyage,3,2653,10/31/13,voyage,whois.donuts.co,registry
343,investments,1,2644,4/17/14,investments,whois.donuts.co,registry
344,bargains,1,2632,1/16/14,bargains,whois.donuts.co,registry
345,country,2,2599,2/28/14,country,whois-dub.mm-registry.com,registry
346,moda,5,2589,1/9/14,moda,whois.unitedtld.com,registry
347,_____�_�____,18,2563,10/21/13,xn--80asehdb,whois.online.rs.corenic.net,registry
348,town,5,2557,4/3/14,town,whois.donuts.co,registry
349,okinawa,7,2554,2/20/14,okinawa,whois.nic.okinawa,registry
350,cleaning,1,2551,1/30/14,cleaning,whois.donuts.co,registry
351,tienda,2,2522,1/16/14,tienda,whois.donuts.co,registry
352,guitars,NA,2460,1/9/14,guitars,whois.uniregistry.net,registry
353,durban,1,2430,6/5/14,durban,durban-whois.registry.net.za,registry
354,mortgage,NA,2426,5/22/14,mortgage,whois.rightside.co,registry
355,mba,1,2410,5/14/15,mba,whois.donuts.co,registry
356,condos,NA,2397,2/6/14,condos,whois.donuts.co,registry
357,engineer,1,2391,5/29/14,engineer,whois.rightside.co,registry
358,how,3,2388,6/12/14,how,domain-registry-whois.l.google.com,registry
359,srl,1,2371,7/9/15,srl,whois.afilias-srs.net,registry
360,delivery,1,2350,10/16/14,delivery,whois.donuts.co,registry
361,green,1,2320,6/12/14,green,whois.afilias.net,registry
362,credit,1,2269,4/24/14,credit,whois.donuts.co,registry
363,cruises,1,2238,1/30/14,cruises,whois.donuts.co,registry
364,desi,15,2235,3/6/14,desi,whois.ksregistry.net,registry
365,associates,1,2233,4/3/14,associates,whois.donuts.co,registry
366,jewelry,2,2212,4/9/15,jewelry,whois.donuts.co,registry
367,lat,5,2188,12/4/14,lat,whois.nic.lat,registry
368,irish,2,2141,11/6/14,irish,whois.afilias-srs.net,registry
369,furniture,1,2140,4/17/14,furniture,whois.donuts.co,registry
370,rodeo,1,2090,2/28/14,rodeo,whois-dub.mm-registry.com,registry
371,lgbt,1,2072,6/26/14,lgbt,whois.afilias.net,registry
372,surgery,1,2061,4/17/14,surgery,whois.donuts.co,registry
373,soccer,NA,2028,5/8/15,soccer,whois.donuts.co,registry
374,villas,1,2020,2/6/14,villas,whois.donuts.co,registry
375,flights,3,1992,1/30/14,flights,whois.donuts.co,registry
376,schule,1,1987,4/11/14,schule,whois.donuts.co,registry
377,juegos,3,1972,5/8/14,juegos,whois.uniregistry.net,registry
378,alsace,1,1970,9/18/14,alsace,whois-alsace.nic.fr,registry
379,gop,6,1924,3/6/14,gop,whois-cl01.mm-registry.com,registry
380,actor,1,1913,2/20/14,actor,whois.unitedtld.com,registry
381,degree,NA,1909,5/22/14,degree,whois.rightside.co,registry
382,film,2,1879,2/27/15,film,whois.nic.film,registry
383,mma,1,1729,2/27/15,mma,whois-mma.nic.fr,registry
384,�����ҋ��,3,1666,11/13/13,xn--q9jyb4c,domain-registry-whois.l.google.com,registry
385,soy,3,1662,3/20/14,soy,domain-registry-whois.l.google.com,registry
386,lease,1,1657,4/3/14,lease,whois.donuts.co,registry
387,��_���,NA,1657,7/2/15,xn--tckwe,whois.nic.xn--tckwe,registry
388,__��__,2,1603,2/27/14,xn--c1avg,whois.publicinterestregistry.net,registry
389,rehab,3,1563,5/29/14,rehab,whois.rightside.co,registry
390,coupons,1,1543,5/8/15,coupons,whois.donuts.co,registry
391,claims,1,1440,5/1/14,claims,whois.donuts.co,registry
392,tennis,1,1407,1/29/15,tennis,whois.donuts.co,registry
393,reise,2,1397,5/15/14,reise,whois.nic.reise,registry
394,rest,4,1392,3/6/14,rest,whois.nic.rest,registry
395,courses,NA,1384,2/19/15,courses,whois.aridnrs.net.au,registry
396,fans,NA,1303,2/5/15,fans,whois.nic.fans,registry
397,accountants,1,1298,4/24/14,accountants,whois.donuts.co,registry
398,feedback,NA,1272,3/6/14,feedback,whois.nic.feedback,registry
399,viajes,1,1270,12/12/13,viajes,whois.donuts.co,registry
400,vote,1,1213,2/13/14,vote,whois.afilias.net,registry
401,museum,12,1209,10/20/01,museum,whois.museum,registry
402,rio,2,1192,5/15/14,rio,whois.gtlds.nic.br,registry
403,�����į�,1,1187,10/21/13,xn--ngbc5azd,whois.nic.xn--ngbc5azd,registry
404,army,1,1146,5/29/14,army,whois.rightside.co,registry
405,��_�__��,2,1137,10/21/13,xn--80aswg,whois.site.rs.corenic.net,registry
406,maison,NA,1117,2/6/14,maison,whois.donuts.co,registry
407,physio,1,1084,6/5/14,physio,whois.nic.physio,registry
408,hockey,1,1074,4/30/15,hockey,whois.donuts.co,registry
409,�ݠ�ݢ,NA,1045,12/12/13,xn--3bst00m,whois.gtld.knet.cn,registry
410,career,1,1041,3/20/14,career,whois.nic.career,registry
411,luxury,1,1020,1/9/14,luxury,whois.nic.luxury,registry
412,movie,6,1016,3/12/15,movie,whois.donuts.co,registry
413,democrat,NA,1015,1/9/14,democrat,whois.unitedtld.com,registry
414,bingo,1,1004,1/29/15,bingo,whois.donuts.co,registry
415,_�_���_�,3,996,2/13/14,xn--d1acj3b,whois.nic.xn--d1acj3b,registry
416,gives,1,994,5/29/14,gives,whois.rightside.co,registry
417,gripe,1,957,4/3/14,gripe,whois.donuts.co,registry
418,�ۄĄ�,NA,948,7/3/14,xn--p1acf,whois.nic.xn--p1acf,registry
419,tatar,NA,932,7/3/14,tatar,whois.nic.tatar,registry
